idx,dayimg,name,category,addr,phone,main,quantity,genre,qualperprice,dayornight,rmood,pmood,who,whenn,purpose
11,나오리쇼쿠.jpeg,나오리쇼쿠,식당,"부산광역시 금정구 금강로 271-14",070-7772-4128,"오차즈케, 연어덮밥",많음,일식,무난한,"낮에,밤에","정감있는,따뜻한,정갈한,전통있는","즐거워,평온해,무료해,설레,새로워,행복해","애인과함께,친구와함께","날씨좋은날,추운날","데이트하기좋은,사진찍기좋은,식사"
12,샤오시안.jpeg,샤오시안,"식당,술집","부산광역시 금정구 부산대학로50번길 16",051-624-2744,"유니짜장, 멘보샤, 칠리새우",중간,중식,가성비,밤에,"중국감성,시끌벅적한,오래된,전통있는","머리가복잡해,답답해,우울해,기분전환,지쳐,귀찮아","친구와함께,단체","추운날,비오는날",술마시기좋은
13,하얼빈.jpeg,하얼빈,"식당,술집","부산광역시 금정구 금정로 61-1",051-515-8744,"양꼬치, 양다리고기, 꿔바로우",많음,중식,"퀄리티좋은,가성비",밤에,"중국감성,시끌벅적한,즐거운","답답해,우울해,기분전환,행복해,센치해,즐거워",친구와함께,"추운날,비오는날",술마시기좋은
14,우마이도.jpeg,우마이도,식당,"부산광역시 금정구 금강로 247-5",051-514-8785,"돈코츠라멘, 짜릿하게매운라멘",중간,일식,"서비스좋은,푸짐한","낮에,밤에","일본감성,깔끔한,어두운","즐거워,평온해,무료해,행복해,외로워","친구와함께,혼자서","추운날,비오는날","식사,포장하기좋은"
15,스시심타카이.jpeg,스시심타카이,식당,"부산광역시 금정구 부산대학로 29",010-2847-3576,오마카세,많음,일식,"퀄리티좋은,가성비,",밤에,"일본감성,고급스러운,깔끔한,전문적인","기분전환,행복해,설레,만족스러워","애인과함께,친구와함께,가족과함께",특별한날,"데이트하기좋은,대접하기좋은"
16,띠리오.jpeg,띠리오,식당,"부산광역시 금정구 금정로 20 래미안 북측 정문 옆 상가건물 주연헤어 옆 띠리오",010-2989-2473,"직접빚은크림감자뇨끼, 아이언플랫 스테이크",적음,양식,퀄리티좋은,밤에,"이탈리아감성,고급스러운,따뜻한,분위기좋은,깔끔한,웨이팅","행복해,평온해,설레,새로워,만족스러워","애인과함께,친구와함께","특별한날,날씨좋은날","데이트하기좋은,대접하기좋은"
17,카페호밀.jpeg,카페호밀,카페,"부산광역시 금정구 금샘로 34",010-3156-0234,"소금버터빵, 호밀빵",중간,간식,무난한,낮에,"베이지톤,우드톤,따뜻한,아늑한,인테리어예쁜,인스타감성,힐링,정감있는,포근한","행복해,평온해,무료해,즐거워,설레,새로워,외로워","애인과함께,친구와함께,혼자서",날씨좋은날,"데이트하기좋은,디저트"
18,포맨티코.jpeg,포맨티코,식당,"부산광역시 금정구 장전로12번길 16",051-583-2682,"포맨티코 오리지널, 후난식 볶음밥",많음,기타,무난한,"낮에,밤에","분위기좋은,비쥬얼좋은,깔끔한,엔틱한","평온해,무료해,새로워,즐거워,기분전환,행복해","애인과함께,친구와함께","날씨좋은날,비오는날,추운날","데이트하기좋은,식사"
19,몰타.jpeg,몰타,술집,"부산광역시 금정구 부산대학로50번길 44 2층",010-6358-1426,"칵테일, 와인, 플레이트",중간,양식,무난한,밤에,"고급스러운,인테리어예쁜,세련된,분위기좋은,모던한,따뜻한,독특한,인스타감성,비쥬얼좋은,트렌디한,힙한","머리가복잡해,기분전환,설레,새로워,행복해,센치해,감성터질때","애인과함께,친구와함께","특별한날,비오는날,날씨좋은날","데이트하기좋은,사진찍기좋은,술마시기좋은"
20,4242샌드위치.jpeg,4242샌드위치,식당,"부산광역시 금정구 금강로321번길 30 1층 4242샌드위치",070-8865-4242,"4242blt, 스페셜 치아바타 칩",중간,양식,푸짐한,낮에,"신선한,건강한,푸짐한,다이어트","귀찮아,평온해,무료해,외로워",혼자서,날씨좋은날,"식사,포장하기좋은"
21,설어정.jpeg,설어정,식당,"부산광역시 금정구 장전로12번길 19",051-583-1239,"스테이크 한상",중간,양식,가성비,밤에,"분위기좋은,깔끔한,정갈한,집밥감성,고급스러운,특색있는,웨이팅","기분전환,행복해,즐거워,설레,새로워,만족스러워","애인과함께,가족과함께,친구와함께","날씨좋은날,특별한날","데이트하기좋은,대접하기좋은,사진찍기좋은,소개팅"
22,바닐바닐.jpeg,바닐바닐,카페,"부산광역시 금정구 장전온천천로 107 1층 onemorebite",010-2959-5905,"도시락미니케이크, 크로플",중간,간식,합리적인,낮에,"인스타감성,깔끔한,우드톤,베이지톤,아늑한,분위기좋은,인테리어예쁜,나들이","에너지넘쳐,즐거워,설레,새로워,기분전환","애인과함께,친구와함께","특별한날,날씨좋은날","데이트하기좋은,디저트,포장하기좋은"
23,하나이미.jpeg,하나이미,식당,"부산광역시 금정구 장전온천천로 63",051-583-0550,"밀푀유나베, 돈토로동",많음,일식,가성비,"낮에,밤에","인테리어예쁜,특색있는,조용한,아늑한,비쥬얼좋은,아담한","기분전환,설레,센치해,감성터질때,만족스러워,즐거워","애인과함께,친구와함께","추운날,비오는날",데이트하기좋은
24,신육간.jpeg,신육간,"식당,술집","부산광역시 금정구 금정로91번길 20",051-515-6668,"토시살 스테이크육, 부채살 스테이크육",중간,한식,"가성비,합리적인",밤에,"시끌벅적한,분위기좋은,웨이팅","우울해,기분전환,행복해,만족스러워,설레,즐거워",애인과함께,"날씨좋은날,특별한날","술마시기좋은,데이트하기좋은"
25,곱창이야기.jpeg,곱창이야기,술집,"부산광역시 금정구 부산대학로50번길 12",051-518-7740,"한우곱창모듬, 한우곱창전골",중간,한식,무난한,밤에,"시끌벅적한,활기찬,웨이팅,즐거운","머리가복잡해,답답해,화가나,우울해,기분전환,지쳐,행복해,신나,에너지넘쳐","친구와함께,가족과함께,애인과함께","추운날,비오는날",술마시기좋은
26,발빠닭.jpeg,발빠닭,술집,"부산광역시 금정구 금정로 89-1 1층",010-8534-2034,"발세트, 뼈없는닭발",중간,한식,무난한,밤에,"아늑한,시끌벅적한,활기찬,어두운","답답해,기분전환,즐거워,신나,즐거워,화가나,우울해","친구와함께,단체,애인과함께","추운날,비오는날",술마시기좋은
27,도르샐러드.jpeg,도르샐러드,카페,"부산광역시 금정구 부산대학로 30-3",070-8886-6328,"도르샐러드, 리코타치즈샐러드",많음,양식,무난한,낮에,"인테리어예쁜,건강한,밝은","평온해,무료해,귀찮아,외로워","혼자서,친구와함께",날씨좋은날,"가벼운식사,채식"
28,소풍경.jpeg,소풍경,식당,"부산광역시 금정구 장전온천천로 35",051-515-8439,"소풍경김밥, 소풍경초밥",적음,한식,가성비,"낮에,밤에","깔끔한,소소한,심플한,밝은,간단한,가벼운","귀찮아,평온해,무료해,외로워","친구와함께,혼자서",날씨좋은날,가벼운식사
29,가네쉬.jpeg,가네쉬,카페,"부산광역시 금정구 부곡온천천로 30 2층",051-201-2771,"나만의 토핑 요거트, 그릭 스트레인드 요거트",중간,간식,무난한,낮에,"깔끔한,분위기좋은,건강한,아기자기한한,심플한","평온해,무료해,귀찮아,설레,행복해,새로워,외로워","혼자서,친구와함께,애인과함께","날씨좋은날,비오는날","가벼운식사,디저트"
30,골목.jpeg,골목,술집,"부산광역시 금정구 부산대학로50번길 3-4",010-5055-7421,"퐁듀치즈새우, 한우곱창전골",중간,한식,무난한,밤에,"분위기좋은,시끌벅적한,인테리어예쁜,활기찬,음악이있는,어두운,웨이팅","기분전환,행복해,신나,즐거워,설레,새로워,센치해,답답해","친구와함께,애인과함께","날씨좋은날,추운날,비오는날",술마시기좋은
31,토비코.jpeg,토비코,식당,"부산광역시 금정구 금정로 45",051-515-0188,"새우크림,쇠고기알밥,토비코스테키",중간,일식,무난한,"낮에,밤에","깔끔한,분위기좋은,아기자기한한,인테리어예쁜,우드톤","평온해,무료해,설레,행복해,즐거워,외로워","애인과함께,친구와함께,단체,혼자서","날씨좋은날,추운날,비오는날",식사
32,서문국수.jpeg,서문국수,식당,"부산광역시 금정구 장전로12번길 32-5 서문국수",051-516-6555,"온국수, 비빔국수",많음,한식,가성비,"낮에,밤에","분위기좋은,베이지톤,깔끔한,인테리어예쁜","행복해,평온해,새로워,무료해,외로워","혼자서,친구와함께","비오는날,추운날",가벼운식사
33,카페붓.jpeg,카페붓,카페,"부산광역시 금정구 금강로 348",010-7695-6644,"붓라떼, 네이처 붓라떼, 붓카토",중간,간식,무난한,낮에,"분위기좋은,아늑한,인테리어예쁜,특색있는,힐링,인스타감성,독특한","기분전환,행복해,평온해,설레,새로워,감성터질때,센치해,외로워","애인과함께,친구와함께,혼자서","날씨좋은날,비오는날","데이트하기좋은,사진찍기좋은"
34,부산대우쭈쭈.jpeg,부산대우쭈쭈,"식당,술집","부산광역시 금정구 부산대학로49번길 19",051-583-5133,"쭈삼겹, 쭈불고기",중간,한식,무난한,"낮에,밤에","깔끔한,활기찬,시끌벅적한,정감있는","기분전환,새로워,평온해,즐거워",친구와함께,"추운날,비오는날,날씨좋은날","술마시기좋은,식사"
35,수림식당2호점.jpeg,수림식당2호점,식당,"부산광역시 금정구 금강로 286",051-517-1931,"탄탄멘, 가지만두",많음,중식,무난한,"낮에,밤에","따뜻한,깔끔한,소소한,정갈한,중국감성,웨이팅,활기찬,비쥬얼좋은","행복해,즐거워,무료해,평온해,설레,새로워","애인과함께,친구와함께","비오는날,추운날","식사,데이트하기좋은"
36,코하루.jpeg,코하루,식당,"부산광역시 금정구 부산대학로38번길 16",051-516-4392,"하카타 돈코츠 라멘, 매운 돈코츠 라멘",많음,일식,무난한,"낮에,밤에","일본감성,따뜻한,아담한,아늑한,도란도란,우드톤,웨이팅","행복해,신나,즐거워,평온해,센치해,답답해","애인과함께,친구와함께","비오는날,추운날","데이트하기좋은,식사"
37,시네마파라다이스.jpeg,시네마파라다이스,술집,"부산광역시 금정구 중앙대로1685번길 6",051-583-7040,"감바스 알 아히요, 매콤크림파스타",중간,양식,무난한,밤에,"분위기좋은,음악이있는,고급스러운,비쥬얼좋은,어두운,인스타감성,세련된","우울해,기분전환,행복해,즐거워,설레,새로워,센치해,감성터질때,만족스러워","애인과함께,친구와함께","날씨좋은날,특별한날","데이트하기좋은,술마시기좋은"
38,부산커피.jpeg,부산커피,카페,"부산광역시 금정구 장전온천천로 93",051-583-7171,"부산커피, 부산더치",중간,간식,무난한,"낮에,밤에","분위기좋은,인테리어예쁜,편한,깨끗한,조용한,깔끔한,심플한","답답해,행복해,즐거워,평온해,무료해,설레,외로워","애인과함께,친구와함께,혼자서",날씨좋은날,"공부하기좋은,데이트하기좋은,디저트"
39,백석.jpeg,백석,술집,"부산광역시 금정구 부산대학로38번길 23-1",010-4851-8648,"칵테일, 마약크래커",중간,양식,무난한,밤에,"분위기좋은,음악이있는,인스타감성,독특한,조용한,아늑한,레트로감성,인테리어예쁜,어두운,숨은,힐링","우울해,기분전환,행복해,즐거워,설레,새로워,센치해,감성터질때,만족스러워","애인과함께,친구와함께","추운날,비오는날","데이트하기좋은,술마시기좋은"
40,비윤.jpeg,비윤,카페,"부산광역시 금정구 금정로52번길 27",010-4226-1465,"하프앤하프, 낫띵 스페셜, 브라우니",중간,간식,무난한,낮에,"분위기좋은,인테리어예쁜,편한,따뜻한,힐링,인스타감성,주택개조,테라스","행복해,즐거워,평온해,무료해,설레,감성터질때","애인과함께,친구와함께",날씨좋은날,"수다떨기좋은,데이트하기좋은,사진찍기좋은"
41,도야지면옥.jpeg,도야지면옥,식당,"부산광역시 금정구 장전온천천로 39",051-937-7751,"얼넓은도야지국밥, 사골도야지국밥",많음,한식,무난한,"낮에,밤에","아늑한,따뜻한,깨끗한,깔끔한,정감있는,한국감성","행복해,지쳐,평온해,무료해,외로워","친구와함께,혼자서","추운날,비오는날",해장
42,보리종파티세리.jpeg,보리종파티세리,카페,"부산광역시 금정구 중앙대로 1667",051-513-5200,"올리브치아바타, 100%통밀빵",중간,간식,무난한,낮에,"건강한,인테리어예쁜,힐링","우울해,기분전환,행복해,평온해,외로워","친구와함께,혼자서",날씨좋은날,"포장하기좋은,디저트,가벼운식사"
43,구디너프.jpeg,구디너프,카페,"부산광역시 금정구 금정로52번길 21",010-4227-1465,"브리치즈사과샌드위치, 클럽샌드위치",중간,양식,무난한,낮에,"분위기좋은,인테리어예쁜,힐링,인스타감성,깔끔한,베이지톤","기분전환,행복해,신나,즐거워,평온해,설레,새로워","애인과함께,친구와함께",날씨좋은날,"가벼운식사,데이트하기좋은,사진찍기좋은"
44,신천닭도리.jpeg,신천닭도리,"식당,술집","부산광역시 금정구 금강로 271-6",051-582-2234,"닭도리탕, 켄터키 후라이드",많음,한식,무난한,밤에,"정감있는,아늑한,한국감성,오래된,따뜻한,시끌벅적한","머리가복잡해,답답해,우울해,기분전환,신나,즐거워,평온해","친구와함께,단체","비오는날,추운날",술마시기좋은
45,맛나감자탕.jpeg,맛나감자탕,"식당,술집","부산광역시 금정구 장전온천천로 73",051-512-8289,"맛나감자탕, 뼈해장국",많음,한식,무난한,"낮에,밤에","정감있는,깨끗한,시끌벅적한,쾌적한,한국감성,로컬의,오래된","귀찮아,무료해,평온해","가족과함께,친구와함께","비오는날,추운날","해장,식사"
46,촨촨향훠궈무한리필.jpeg,촨촨향훠궈무한리필,"식당,술집","부산광역시 금정구 부산대학로50번길 39 1층 촨촨향",051-581-8612,"훠궈무한리필, 마라탕",많음,중식,무난한,밤에,"중국감성,깔끔한,고급스러운","기분전환,신나,즐거워,평온해,답답해","친구와함께,애인과함께","비오는날,추운날,날씨좋은날",식사
47,에타리.jpeg,에타리,카페,"부산광역시 금정구 장전로18번길 23 1층",070-4015-3608,에그타르트,중간,간식,무난한,낮에,"우드톤,베이지톤,아늑한,따뜻한,밝은,분위기좋은,힐링","설레,새로워,행복해,우울해,기분전환,신나,즐거워,평온해","친구와함께,애인과함께",날씨좋은날,"데이트하기좋은,사진찍기좋은"
48,서빙고.jpeg,서빙고,카페,"부산광역시 금정구 장전로12번길 9",070-4195-5345,"옛날팥빙수, 찰떡빙수",중간,간식,가성비,낮에,"아담한,건강한,정감있는","머리가복잡해,답답해,우울해,행복해,신나,즐거워,지쳐,평온해,설레","친구와함께,애인과함께,가족과함께","날씨좋은날,추운날","디저트,데이트하기좋은"
49,웬디스키친.jpeg,웬디스키친,식당,"부산광역시 금정구 부산대학로50번길 54 1층 웬디스키친",010-9580-5118,"웬디스파스타, 웬디스브런치",적음,양식,무난한,"낮에,밤에","아담한,아기자기한한,귀여운,특색있는,인스타감성,베이지톤,인테리어예쁜,주택개조,러블리한","기분전환,즐거워,귀찮아,평온해,무료해,행복해,설레","친구와함께,애인과함께",날씨좋은날,"데이트하기좋은,사진찍기좋은"
50,텐퍼센트커피.jpeg,텐퍼센트커피,카페,"부산광역시 금정구 금정로 72",051-939-1375,"텐라떼, 아인슈페너",많음,간식,가성비,낮에,"깔끔한,베이지톤,밝은","행복해,평온해,무료해,외로워","친구와함께,혼자서",날씨좋은날,포장하기좋은
51,카페호탐.jpeg,카페호탐,카페,"부산광역시 금정구 부곡로141번길 9-2 1층 호시탐탐",010-5090-2110,"호탐의 당근이지",중간,간식,무난한,낮에,"비쥬얼좋은,분위기좋은,인스타감성,베이지톤,아늑한,인테리어예쁜,힐링","기분전환,행복해,즐거워,평온해,무료해,설레,새로워,센치해",애인과함께,"날씨좋은날,추운날,비오는날","데이트하기좋은,사진찍기좋은"
52,에픽키친.jpeg,에픽키친,"식당,술집","부산광역시 금정구 금정로 62-1",010-3239-0034,"포터하우스 스테이크, 티본스테이크, 프라임 꽃등심 스테이크",많음,양식,무난한,밤에,"분위기좋은,어두운,차분한,고급스러운,미적인","즐거워,설레,새로워,행복해,감성터질때,만족스러워",애인과함께,"특별한날,날씨좋은날","데이트하기좋은,소개팅"
53,텐동코하루.jpeg,텐동코하루,식당,"부산광역시 금정구 부산대학로49번길 43",051-517-4392,"코하루텐동, 특에비텐동",많음,일식,무난한,"낮에,밤에","인테리어예쁜,일본감성,아늑한,깨끗한,우드톤","기분전환,평온해,설레,행복해,외로워","친구와함께,애인과함께,혼자서","날씨좋은날,추운날",식사
54,레오앤아그너스.jpeg,레오앤아그너스,식당,"부산광역시 금정구 금강로 260-1 1층",070-7728-3201,"리코타치즈샐러드, 바질페스토샐러드",많음,양식,무난한,낮에,"분위기좋은,가벼운,베이지톤,밝은,감각적인,깔끔한,쾌적한","행복해,즐거워,설레,새로워,평온해,무료해,귀찮아,외로워","혼자서,친구와함께,애인과함께",날씨좋은날,"가벼운식사,채식"
55,카페씨유.jpeg,카페씨유,카페,"부산광역시 금정구 장전온천천로 85-1 1층",051-513-4326,"비스킷크림라떼, 피넛크림라떼, 에그바게트브런치",많음,간식,무난한,낮에,"인테리어예쁜,비쥬얼좋은,분위기좋은,건강한,아담한,아기자기한한,귀여운","행복해,즐거워,기분전환,평온해,설레,새로워","친구와함께,애인과함께",날씨좋은날,"데이트하기좋은,사진찍기좋은,디저트"
56,17테이블.jpeg,17테이블,식당,"부산광역시 금정구 금정로60번길 20",051-518-1718,"새우로제크림파스타, 알리오올리오",많음,양식,무난한,밤에,"분위기좋은,깔끔한,따뜻한,은은한,인테리어예쁜,음악이있는","만족스러워,즐거워,행복해,설레,새로워,행복해","애인과함께,가족과함께","특별한날,날씨좋은날","소개팅,데이트하기좋은"
57,오키나와키친미도우.jpeg,오키나와키친미도우,"식당,술집","부산광역시 금정구 장전로12번길 50 1층 오키나와키친",051-582-6983,"타코라이스, 카라아게돈, 오니기리",중간,일식,무난한,"낮에,밤에","일본감성,깨끗한,인테리어예쁜,아담한,아기자기한한,도란도란","즐거워,평온해,무료해,행복해","애인과함께,친구와함께","날씨좋은날,추운날","데이트하기좋은,식사"
58,벤스하버.jpeg,벤스하버,술집,"부산광역시 금정구 장전로12번길 24",051-518-3771,"장전에일, 크림새우그라탕",중간,양식,무난한,밤에,"아늑한,조용한,어두운,분위기좋은,비쥬얼좋은","답답해,우울해,기분전환,행복해,신나,즐거워,지쳐,설레,새로워,감성터질때,센치해,만족스러워","친구와함께,애인과함께","날씨좋은날,비오는날","술마시기좋은,수다떨기좋은"
59,개성상인.jpeg,개성상인,"식당,술집","부산광역시 금정구 금강로 248-5",051-515-5253,"무한a세트, 무한 b세트",많음,한식,무난한,밤에,"깔끔한,분위기좋은,시끌벅적한,한국감성","우울해,에너지넘쳐,기분전환","단체,친구와함께","날씨좋은날,추운날","술마시기좋은,수다떨기좋은"
60,교토밥상.jpeg,교토밥상,식당,"부산광역시 금정구 금강로 270",070-4122-5858,"규카츠, 스테키동",중간,일식,퀄리티좋은,"낮에,밤에","비쥬얼좋은,일본감성,고급스러운","행복해,즐거워,평온해,새로워","친구와함께,애인과함꼐","날씨좋은날,추운날","데이트하기좋은,식사"
61,이솝.jpeg,이솝,카페,"부산광역시 금정구 장전로 10 가온메디컬 101호",051-516-7673,"이솝blt, 잠봉뵈르",많음,양식,퀄리티좋은,낮에,"프랑스감성,아기자기한한,인테리어예쁜,엔틱한,심플한,예쁜,기쁜,아름다운,주택개조","평온해,무료해,설레,즐거워,행복해,기분전환","애인과함께,친구와함께",날씨좋은날,"데이트하기좋은,포장하기좋은,가벼운식사"
62,카츠안.jpeg,카츠안,식당,"부산광역시 금정구 금정로 59-8",051-517-5133,"초밥카츠, 치즈카츠",중간,일식,퀄리티좋은,"낮에,밤에","친절한,아기자기한한,밝은,깔끔한,웨이팅,일본감성","행복해,귀찮아,평온해,새로워,설레","친구와함께,애인과함께",날씨좋은날,식사
63,투고샐러드.jpeg,투고샐러드,식당,"부산광역시 금정구 부산대학로64번길 16",051-516-6552,"목살스테이크샐러드, 닭가슴살스테이크 샐러드",많음,양식,무난한,낮에,"즐거운,가벼운,쾌적한,깔끔한,건강한,밝은","지쳐,귀찮아,평온해,무료해,행복해,외로워","혼자서,친구와함께",날씨좋은날,"가벼운식사,채식"
64,노브랜드버거.jpeg,노브랜드버거,식당,"부산광역시 금정구 부산대학로 26 고성빌딩 1층, 2층",051-512-7769,"nbb시그니처, nbb오리지널",많음,기타,가성비,"낮에,밤에","깔끔한,색다른,깨끗한,패스트푸드","평온해,무료해,즐거워,지쳐,우울해,외로워","혼자서,친구와함께,가족과함께","날씨좋은날,추운날,비오는날",식사
65,인디키친.jpeg,인디키친,식당,"부산광역시 금정구 장전로12번길 50",070-7340-0555,"치킨티카마살라커리, 치킨탄두리",많음,기타,퀄리티좋은,낮에,"인도감성,깨끗한,인테리어예쁜","기분전환,행복해,즐거워,설레,새로워,만족스러워","애인과함께,친구와함께",특별한날,데이트하기좋은
66,오야지스시.jpeg,오야지스시,식당,"부산광역시 금정구 금정로52번길 39",051-517-1508,"오야지스시세트, 연어세트",많음,일식,무난한,"낮에,밤에","오래된,친절한,아기자기한한,분위기좋은,예쁜,일본감성","행복해,평온해,새로워,만족스러워,설레","애인과함께,가족과함께",날씨좋은날,"데이트하기좋은,술마시기좋은,식사"
67,머스마롱.jpeg,머스마롱,카페,"부산광역시 금정구 부산대학로64번길 133 1층 머스마롱",010-8259-9453,마카롱,중간,간식,무난한,낮에,"다양한,비쥬얼좋은,활기찬,생기있는","머리가복잡해,우울해,기분전환,행복해,신나,즐거워,지쳐,평온해,설레,외로워","애인과함께,친구와함께,혼자서","날씨좋은날,특별한날","포장하기좋은,디저트"
68,사사야키.jpeg,사사야키,식당,"부산광역시 금정구 부산대학로49번길 33",051-977-4321,"돈코츠 원라멘, 돈코츠 수라멘",중간,일식,서비스좋은,밤에,"아담한,아늑한,친절한,일본감성,깔끔한","평온해,무료해,설레,새로워,지쳐,우울해","혼밥가능,친구와함께,애인과함께","추운날,비오는날",식사
69,곁집.jpeg,곁집,식당,"부산광역시 금정구 금강로 254",010-7167-0400,"육회비빔밥, 돌솥비빔밥",많음,한식,무난한,낮에,"정감있는,집밥감성,깔끔한,한국감성","행복해,평온해,무료해,새로워","친구와함께,애인과함께",날씨좋은날,식사
70,레오.jpeg,레오,술집,"부산광역시 금정구 장전로20번길 22 1층, 레오",010-9839-7790,"매콤크림우동, 물총조개파스탕",많음,양식,퀄리티좋은,"낮에,밤에","친절한,숨은,아담한,예쁜,즐거운,분위기좋은","기분전환,행복해,즐거워,설레,새로워,만족스러워","애인과함께,친구와함께","날씨좋은날,비오는날,추운날","데이트하기좋은,술마시기좋은"
71,홍익돈까스.jpeg,홍익돈까스,식당,"부산광역시 금정구 금강로 258",051-515-3737,"왕돈까스, 치즈까스",많음,일식,가성비,낮에,"독특한,깔끔한,푸짐한","기분전환,평온해,무료해,행복해","친구와함께,애인과함께",날씨좋은날,식사
72,미도리스시.jpeg,미도리스시,"식당,술집","부산광역시 금정구 금정로91번길 16",051-513-4223,"점심특선, 오마카세",중간,일식,퀄리티좋은,"낮에,밤에","일본감성,고급스러운,전문적인","만족스러워,즐거워,행복해,평온해,기분전환,설레","애인과함께,가족과함께","날씨좋은날,추운날",데이트하기좋은
73,월면가금정점.jpeg,월면가금정점,식당,"부산광역시 금정구 장전로 16-1 1층",051-991-1717,"소고기쌀국수, 파인애플볶음밥",많음,기타,"가성비좋은,합리적인",낮에,"동남아감성,깔끔한,깨끗한,친절한","평온해,무료해,지쳐,외로워","친구와함께,혼자서","날씨좋은날,추운날,비오는날",식사
74,돼지집딸.jpeg,돼지집딸,"식당,술집","부산광역시 금정구 부산대학로50번길 26",051-512-5550,"오겹살, 목살",중간,한식,퀄리티좋은,밤에,"편한,즐거운,시끌벅적한","만족스러워,머리가복잡해,답답해,우울해,기분전환","친구와함께,가족과함께","날씨좋은날,추운날,비오는날",술마시기좋은
75,삼세랑.jpeg,삼세랑,"식당,술집","부산광역시 금정구 중앙대로 1588",051-923-3434,"가정식, 해물 누룽지탕 정식",많음,한식,퀄리티좋은,"낮에,밤에","친절한,정감있는,한국감성,건강한,깔끔한,집밥감성,편한","기분전환,즐거워,설레,새로워,행복해,평온해","애인과함께,가족과함께","날씨좋은날,비오는날","술마시기좋은,데이트하기좋은"
